id	X-Coordinate	Y-Coordinate	Z	M
146	152.23699951	-27.59329987	0	0
147	152.14199829	-27.59499931	0	0
148	152.22000122	-27.59830093	0	0
149	152.37199402	-27.62999916	0	0
150	152.21699524	-27.63829994	0	0
151	152.38330078	-27.63800049	0	0
152	152.33200073	-27.63829994	0	0
153	152.16000366	-27.65999985	0	0
154	152.37199402	-27.66329956	0	0
155	151.31300354	-27.75499916	0	0
156	152.37199402	-27.75670052	0	0
157	152.68299866	-27.77000046	0	0
158	151.44700623	-27.83830070	0	0
159	148.64500427	-27.90670013	0	0
160	148.73199463	-27.99169922	0	0
161	151.75799561	-27.99169922	0	0
162	153.28329468	-28.04999924	0	0
163	115.00000000	-28.73329926	0	0
164	152.55299377	-28.02829933	0	0
165	148.56700134	-28.04500008	0	0
166	148.76499939	-28.08830070	0	0
167	151.27999878	-28.98830032	0	0
168	153.28500366	-28.14500046	0	0
169	152.65800476	-28.18330002	0	0
170	151.91999817	-28.21829987	0	0
171	151.91999817	-28.21829987	0	0
172	151.99299622	-28.35499954	0	0
173	151.21699524	-28.43330002	0	0
174	151.18499756	-28.43670082	0	0
175	153.30499268	-28.44000053	0	0
176	150.95500183	-28.46829987	0	0
177	150.25500488	-28.54829979	0	0
178	150.86300659	-28.56500053	0	0
179	151.97200012	-28.59670067	0	0
180	152.78999329	-28.62170029	0	0
181	149.66799927	-28.62500000	0	0
182	153.34199524	-28.63669968	0	0
183	150.89300537	-28.69169998	0	0
184	151.99200439	-28.70999908	0	0
185	150.99299622	-28.73830032	0	0
186	148.97700500	-28.97669983	0	0
187	151.46699524	-28.98329926	0	0
188	121.41699982	-29.38330078	0	0
189	151.01699829	-29.07500076	0	0
190	149.47700500	-29.12170029	0	0
191	151.24699402	-29.38330078	0	0
192	151.75300598	-29.50670052	0	0
193	151.78700256	-29.73170090	0	0
194	151.13699341	-29.79170036	0	0
195	150.92500305	-29.90830040	0	0
196	117.86699677	-30.93330002	0	0
197	151.73800659	-30.28829956	0	0
198	150.63999939	-30.36170006	0	0
199	151.73199463	-30.40169907	0	0
200	151.79699707	-30.54000092	0	0
201	146.87500000	-30.54829979	0	0
202	152.06799316	-30.57670021	0	0
203	150.69200134	-30.57830048	0	0
204	138.35499573	-30.58670044	0	0
205	150.49000549	-30.87999916	0	0
206	150.99699402	-30.95000076	0	0
207	148.39500427	-30.95330048	0	0
208	118.13300323	-30.95829964	0	0
209	142.67999268	-30.99169922	0	0
210	137.18299866	-31.58329964	0	0
211	151.83299255	-31.64999962	0	0
212	116.08300018	-31.88330078	0	0
213	149.15199280	-31.27829933	0	0
214	151.13699341	-31.34499931	0	0
215	147.69200134	-31.38500023	0	0
216	151.35699463	-31.39329910	0	0
217	150.73300171	-31.41500092	0	0
218	150.69999695	-31.42169952	0	0
219	152.90199280	-31.46500015	0	0
220	151.50000000	-31.65830040	0	0
221	147.86300659	-31.73500061	0	0
222	141.21000671	-31.81669998	0	0
223	141.59199524	-31.89999962	0	0
224	148.20300293	-31.90500069	0	0
225	152.37300110	-31.92000008	0	0
226	148.13999939	-31.93829918	0	0
227	116.16300201	-31.95829964	0	0
228	118.80000305	-32.00000000	0	0
229	139.21699524	-32.01670074	0	0
230	116.06700134	-32.03329849	0	0
231	116.13300323	-32.13330078	0	0
232	140.75000000	-32.13330078	0	0
233	138.03300476	-32.29999924	0	0
234	116.98300171	-32.38330078	0	0
235	116.06700134	-32.45000076	0	0
236	140.25000000	-32.59999847	0	0
237	116.03299713	-32.65000153	0	0
238	137.10000610	-32.65000153	0	0
239	137.97000122	-32.70000076	0	0
240	116.34999847	-32.73329926	0	0
241	138.61700439	-32.75000000	0	0
242	116.44999695	-32.79999924	0	0
243	115.90000153	-32.91669846	0	0
244	115.90000153	-32.91669846	0	0
245	117.16699982	-32.93330002	0	0
246	135.36700439	-32.95000076	0	0
247	116.06300354	-32.04000092	0	0
248	150.99699402	-32.10670090	0	0
249	150.99699402	-32.10670090	0	0
250	116.07299805	-32.14670181	0	0
251	116.12500000	-32.15169907	0	0
252	116.05699921	-32.19670105	0	0
253	151.68800354	-32.23830032	0	0
254	139.48300171	-32.27000046	0	0
255	142.50500488	-32.31669998	0	0
256	147.65089417	-20.67740059	0	0
257	151.44999695	-32.33000183	0	0
258	150.74299622	-32.33670044	0	0
259	151.27000427	-32.36000061	0	0
260	150.95700073	-32.36999893	0	0
261	116.05799866	-32.37329865	0	0
262	150.94200134	-32.38999939	0	0
263	150.99299622	-32.38999939	0	0
264	116.09500122	-32.40330124	0	0
265	149.57299805	-32.62500000	0	0
266	116.03700256	-32.64670181	0	0
267	149.10499573	-32.66999817	0	0
268	151.84609985	-28.25819969	0	0
269	149.77200317	-32.72829819	0	0
270	151.80799866	-32.74330139	0	0
271	151.73699951	-32.74499893	0	0
272	149.98500061	-32.79169846	0	0
273	115.98000336	-32.84830093	0	0
274	115.95500183	-32.86330032	0	0
275	116.01999664	-32.88000107	0	0
276	138.05999756	-32.92330170	0	0
277	116.00000000	-33.28329849	0	0
278	117.28299713	-33.28329849	0	0
279	138.55000305	-33.46659851	0	0
280	138.70799255	-33.59999847	0	0
281	117.51699829	-33.66669846	0	0
282	115.88300323	-33.71670151	0	0
283	116.03299713	-33.81669998	0	0
284	116.14499664	-33.91669846	0	0
285	115.80000305	-33.96670151	0	0
286	115.95800018	-33.00329971	0	0
287	146.64199829	-33.03829956	0	0
288	139.32800293	-33.04330063	0	0
289	150.55000305	-33.05830002	0	0
290	146.79299927	-33.07170105	0	0
291	115.92500305	-33.07500076	0	0
292	146.94799805	-33.08670044	0	0
293	148.36999512	-33.09170151	0	0
294	148.41200256	-33.11000061	0	0
295	116.03199768	-33.12329865	0	0
296	136.60000610	-33.12829971	0	0
297	148.38699341	-33.12829971	0	0
298	148.97200012	-33.18830109	0	0
299	138.21299744	-33.19169998	0	0
300	144.92799377	-33.19499969	0	0
301	146.45300293	-33.20000076	0	0
302	151.11999512	-33.21829987	0	0
303	149.14300537	-33.27000046	0	0
304	136.70500183	-33.28170013	0	0
305	139.14300537	-33.28499985	0	0
306	151.39700317	-33.29830170	0	0
307	149.02799988	-33.30500031	0	0
308	149.08999634	-33.33000183	0	0
309	149.12500000	-33.33499908	0	0
310	136.78300476	-33.33670044	0	0
311	145.87199402	-33.34999847	0	0
312	145.59300232	-33.36830139	0	0
313	151.24699402	-33.37829971	0	0
314	139.33700562	-33.38999939	0	0
315	149.77499390	-33.39170074	0	0
316	150.09500122	-33.39170074	0	0
317	116.08799744	-33.39500046	0	0
318	145.98500061	-33.39500046	0	0
319	115.97799683	-33.39830017	0	0
320	147.77499390	-33.40000153	0	0
321	150.07800293	-33.42499924	0	0
322	136.68299866	-33.45169830	0	0
323	150.20500183	-33.45669937	0	0
324	138.53500366	-33.46329880	0	0
325	150.02799988	-33.46670151	0	0
326	136.53700256	-33.46829987	0	0
327	138.62199402	-33.48669815	0	0
328	145.50300598	-33.48669815	0	0
329	116.09799957	-33.50500107	0	0
330	136.91299438	-33.52669907	0	0
331	150.08200073	-33.52669907	0	0
